job_title,experience_years,country,company_size,skills_count,salary_usd,experience_level,education_level
software engineer,1,India,Medium,5,15000,Junior,Bachelor
software engineer,2,India,Medium,7,22000,Mid-level,Bachelor
software engineer,3,India,Large,9,35000,Mid-level,Bachelor
software engineer,4,India,Large,11,48000,Mid-level,Bachelor
software engineer,5,India,Large,13,65000,Senior,Bachelor
software engineer,7,India,Large,15,95000,Senior,Master
software engineer,10,India,Large,17,140000,Expert,Master
data scientist,2,India,Medium,6,18000,Junior,Bachelor
data scientist,3,India,Large,8,32000,Mid-level,Bachelor
data scientist,5,India,Large,12,55000,Senior,Master
data scientist,7,India,Large,15,85000,Senior,Master
data scientist,10,India,Large,18,130000,Expert,PhD
ml engineer,3,India,Large,10,40000,Mid-level,Bachelor
ml engineer,5,India,Large,14,70000,Senior,Master
ml engineer,7,India,Large,16,110000,Senior,Master
backend developer,3,India,Large,8,38000,Mid-level,Bachelor
backend developer,5,India,Large,11,60000,Senior,Bachelor
backend developer,7,India,Large,14,95000,Senior,Master
data analyst,1,India,Medium,4,10000,Junior,Bachelor
data analyst,3,India,Large,7,25000,Mid-level,Bachelor
data analyst,5,India,Large,10,42000,Senior,Bachelor
data engineer,3,India,Large,8,35000,Mid-level,Bachelor
data engineer,5,India,Large,12,60000,Senior,Bachelor
software engineer,2,USA,Medium,6,95000,Junior,Bachelor
software engineer,4,USA,Large,10,145000,Mid-level,Bachelor
software engineer,6,USA,Large,13,185000,Senior,Master
software engineer,8,USA,Large,15,230000,Senior,Master
data scientist,3,USA,Large,8,125000,Mid-level,Master
data scientist,5,USA,Large,12,170000,Senior,Master
data scientist,7,USA,Large,15,220000,Senior,PhD
ml engineer,3,USA,Large,10,135000,Mid-level,Master
ml engineer,5,USA,Large,14,180000,Senior,Master
ml engineer,7,USA,Large,16,235000,Senior,PhD
backend developer,3,USA,Large,8,115000,Mid-level,Bachelor
backend developer,5,USA,Large,11,160000,Senior,Bachelor
data analyst,2,USA,Medium,5,75000,Junior,Bachelor
data analyst,4,USA,Large,8,110000,Mid-level,Bachelor
